location,plot,individual,height_cm,species_full,leaf_area,lma,sla,ldmc
bennett,ben3,1,30,Erigeron canadensis,4.73688079,0.004728850269419594,0.2114678924107143,237.79193205944796
bennett,ben3,2,22,Erigeron canadensis,4.47545139,0.004312414171925572,0.23188867305699482,209.55483170466886
bennett,ben3,3,23,Lactuca serriola,16.84468481,0.005170770541713686,0.1933947739380023,201.10828907873469
bennett,ben3,2,24,Lactuca serriola,14.42940437,0.00410966374490758,0.24332891011804386,139.79255068363977
bennett,ben3,1,27,Lactuca serriola,28.11936626,0.005554890482087274,0.18002155096030728,168.1377825618945
bennett,ben3,3,45,Shepheria canadensis,NA,NA,NA,304.8065650644783
bennett,ben4,1,10,Ceanothus velutina,19.895537450000003,0.016295111444702387,0.06136809824182605,404.13861879830466
bennett,ben4,3,21,Ceanothus velutina,24.657087249999996,0.016035957369619967,0.06235985647445624,407.2929542645241
bennett,ben4,1,56,Erigeron canadensis,5.27419575,0.006674003330270782,0.1498351065340909,289.47368421052636
bennett,ben4,2,26,Erigeron canadensis,5.37750402,0.00795908284602268,0.12564261728971965,317.2720533728688
bennett,ben4,3,18,Erigeron canadensis,3.54952954,0.005071094576663249,0.19719608555555557,244.56521739130434
bennett,ben5,1,45,Ceanothus velutina,21.76202576,0.01230124451428827,0.08129258782218902,399.25428784489185
bennett,ben5,2,31,Ceanothus velutina,37.49755546,0.012662158750761402,0.0789754748525695,365.68083795440543
bennett,ben5,3,39,Ceanothus velutina,25.94854226,0.014975793094898888,0.06677442681420484,393.87796472734647
bennett,ben5,3,32,Erigeron canadensis,9.59091648,0.00621421322188388,0.16092141744966443,210.45197740112994
bennett,ben5,1,20,Erigeron canadensis,5.304466,0.0045244893642451475,0.22101941666666663,208.69565217391303
bennett,ben5,2,42,Erigeron canadensis,7.29340709,0.004497212289846281,0.22235997225609755,213.26397919375816
bennett,ben5,4,17,Erigeron canadensis,5.87354796,0.004409600496392304,0.2267779135135135,175.95108695652172
bennett,ben5,1,38,Lactuca serriola,32.3367141,0.0051396687828587995,0.19456506678700364,160.99970938680616
bennett,ben5,2,35,Lactuca serriola,25.89709133,0.00568017458507376,0.17605092678450032,189.73300657809884
bennett,ben5,3,36,Lactuca serriola,42.61748967,0.00584032522626995,0.17122334138208115,170.84219919006108
bennett,ben5,1,49,Shepheria canadensis,16.06177846,0.010858075301830555,0.09209735355504588,332.1272138640259
bennett,ben5,2,45,Shepheria canadensis,15.939177960000002,0.011016879317156452,0.09076980615034169,325.3659440429869
bennett,ben6,3,20,Ceanothus velutina,20.50292444,0.013295664274515562,0.07521248877476155,404.63114145762216
bennett,ben6,1,41,Ceanothus velutina,27.15079947,0.013285059999745195,0.07527252417521485,388.4760366182015
bennett,ben6,2,25,Ceanothus velutina,15.23956989,0.012303496841012224,0.08127770608,381.640545491553
bennett,ben6,1,45,Erigeron canadensis,3.79365822,0.005983670294895464,0.1671215074889868,230.22312373225157
bennett,ben6,3,NA,Erigeron canadensis,2.0829716,0.004896850249902591,0.20421290196078432,208.16326530612247
bennett,ben6,2,26,Erigeron canadensis,2.07286963,0.00506544157338057,0.19741615523809522,229.25764192139738
bennett,ben6,3,17,Lactuca serriola,11.45910216,0.003953189295940442,0.25296031258278145,139.68547641073081
bennett,ben6,1,24,Lactuca serriola,27.320293839999998,0.0044984874877172995,0.2222969393002441,140.23277042446372
bennett,ben6,2,24,Lactuca serriola,27.239648629999998,0.0038693597495203813,0.25844068908918405,125.44632230421328
bennett,ben6,3,27,Shepheria canadensis,20.87779548,0.010298022135812206,0.09710602548837209,203.94612028078163
bennett,ben6,1,36,Shepheria canadensis,24.35283569,0.009686756934711615,0.10323372484103432,272.71676300578036
bennett,ben6,2,59,Shepheria canadensis,22.52513931,0.010810144019482203,0.0925057055852156,306.8683049779458
bennett,ben7,1,10,Ceanothus velutina,14.63494101,0.011479376642871757,0.08711274410714286,312.96572280178833
bennett,ben7,2,7,Ceanothus velutina,17.14812422,0.013645807377992042,0.07328258213675212,332.9065300896287
bennett,ben7,3,11,Ceanothus velutina,15.17058913,0.012069406034991603,0.08285411867831785,350.63194178475686
bennett,ben7,3,24,Erigeron canadensis,3.22288498,0.004623187017986599,0.21630100536912752,213.46704871060172
bennett,ben7,2,27,Erigeron canadensis,2.81394249,0.005046300715264441,0.19816496408450704,227.92937399678974
bennett,ben7,1,27,Erigeron canadensis,3.5540000000000003,0.00498030388294879,0.20079096045197742,220.97378277153555
bennett,ben7,1,20,Lactuca serriola,13.04478322,0.005442788799368028,0.18372934112676056,163.25592090135663
bennett,ben7,2,23,Lactuca serriola,22.51446863,0.005965053060192965,0.1676431022338049,172.17948717948718
bennett,ben7,3,20,Lactuca serriola,17.35634967,0.004759065216505287,0.21012529866828086,156.0846560846561
bennett,ben7,1,36,Shepheria canadensis,17.09395142,0.009213785398718538,0.10853302488888888,208.08561236623066
bennett,ben7,2,29,Shepheria canadensis,13.11958124,0.010998826666818217,0.09091878891198892,333.71877890841813
bennett,ben7,3,53,Shepheria canadensis,15.186539060000001,0.012162086389155212,0.08222273448835951,352.41366151497806
bennett,ben8,1,25,Ceanothus velutina,28.95956166,0.01662663287701158,0.06014446866043614,432.5756895157668
bennett,ben8,2,23,Ceanothus velutina,25.19475549,0.015110287541830001,0.06618007746256895,424.9832551908908
bennett,ben8,3,18,Ceanothus velutina,34.87248687,0.016525922058509043,0.060510995783446125,444.12762022194823
bennett,ben8,3,23,Erigeron canadensis,2.06598464,0.004743500900374555,0.21081475918367346,225.28735632183907
bennett,ben8,1,28,Erigeron canadensis,4.20596016,0.004945363058312944,0.20220962307692308,234.76297968397293
bennett,ben8,1,23,Lactuca serriola,17.56287413,0.00588172523673379,0.1700181425943853,180.24777525737215
bennett,ben8,2,23,Lactuca serriola,16.397181330000002,0.005446057965866258,0.18361905184770438,157.8854314002829
bennett,ben8,3,32,Lactuca serriola,19.85287846,0.007867876706882333,0.12709909385403328,208.2389014798027
bennett,ben9,1,24,Ceanothus velutina,22.57425902,0.01726745492087474,0.0579124141097999,438.66756695926176
bennett,ben9,2,44,Ceanothus velutina,48.14965237,0.014500623901389136,0.06896254994270981,414.06713319890883
bennett,ben9,3,35,Ceanothus velutina,27.86289433,0.015543970230460979,0.06433362809974602,430.7309796121332
bennett,ben9,1,21,Erigeron canadensis,4.70239737,0.004338212701918044,0.230509675,202.18037661050548
bennett,ben9,2,21,Erigeron canadensis,4.36336806,0.005339911664476914,0.18726901545064376,237.27087576374748
bennett,ben9,3,26,Erigeron canadensis,2.90178601,0.004514461078403228,0.22151038244274807,210.27287319422152
bennett,ben9,1,24,Lactuca serriola,33.00528264,0.00489012627949427,0.20449369665427508,159.72290945076693
bennett,ben9,2,23,Lactuca serriola,NA,NA,NA,162.52034410602184
bennett,ben9,3,16,Lactuca serriola,13.4924261,0.004313531129883306,0.2318286271477663,146.7843631778058
bennett,ben10,1,17,Ceanothus velutina,48.34365678,0.012659365070066177,0.07899290323529412,382.7392120075047
bennett,ben10,2,18,Ceanothus velutina,36.49190395,0.01267404410122591,0.07890141394594595,381.5062278313949
bennett,ben10,3,39,Ceanothus velutina,20.76143028,0.014387255404447985,0.06950596009373954,386.86698614169154
bennett,ben10,1,32,Erigeron canadensis,4.3586253500000005,0.005666924320531471,0.17646256477732797,273.5326688815061
bennett,ben10,2,26,Erigeron canadensis,NA,NA,NA,243.78109452736317
bennett,ben10,3,24,Erigeron canadensis,2.9487969300000003,0.004578138244331392,0.21842940222222226,235.19163763066203
bennett,ben10,2,37,Lactuca serriola,24.93769773,0.00583855019723186,0.17127539649725274,234.99031633311813
bennett,ben10,3,33,Lactuca serriola,18.86730581,0.00597329587673652,0.16741176406388644,206.4480674116138
bennett,ben10,1,30,Lactuca serriola,22.1213227,0.004674223209989157,0.2139392911025145,188.927462086607
bennett,ben11,2,18,Ceanothus velutina,34.835214300000004,0.014950388865556656,0.06688789228110599,424.8307366016805
bennett,ben11,3,17,Ceanothus velutina,59.973392049999994,0.01595874382429566,0.06266157355553234,442.528204179767
bennett,ben11,1,21,Ceanothus velutina,75.60761393,0.01491251927410216,0.06705775071396895,420.4579355608592
bennett,ben11,1,40,Erigeron canadensis,39.81852759,0.005487395271111781,0.1822358242105263,210.88698002123346
bennett,ben11,2,28,Erigeron canadensis,26.86958593,0.005277342210237775,0.1894893224964739,229.9335171071834
bennett,ben11,3,19,Erigeron canadensis,10.76546565,0.00525755242180351,0.19020257332155477,197.97131864288212
bennett,ben11,2,34,Lactuca serriola,36.49228438,0.007818090997788064,0.12790846260077113,213.26057706682613
bennett,ben12,1,25,Ceanothus velutina,35.47560579,0.011543143263685475,0.08663151597069599,347.47560458209585
bennett,ben12,3,42,Ceanothus velutina,36.38576211,0.012205323572924332,0.08193146163026345,361.26250711787196
bennett,ben12,2,41,Ceanothus velutina,63.43792601,0.014109855985186236,0.07087244554798346,401.21021963245187
bennett,ben12,1,55,Erigeron canadensis,2.9598999,0.005101523872479607,0.19601986092715232,312.62939958592136
bennett,ben12,2,33,Erigeron canadensis,3.64826715,0.005262772491866446,0.1900139140625,272.7272727272727
